"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-05-17T04:00:00.000Z","202.12","205.46","198.36","202.62","1.29","1.07","24,872,729"
"2022-05-18T04:00:00.000Z","200.00","201.00","191.63","192.24","-5.12","-5.34","23,959,966"
"2022-05-19T04:00:00.000Z","191.20","195.29","189.60","191.29","-0.4942","-0.7116","24,446,938"
"2022-05-20T04:00:00.000Z","194.97","197.91","187.87","193.54","1.18","0.9588","31,465,570"
"2022-05-23T04:00:00.000Z","195.19","196.99","191.24","196.23","1.39","1.17","25,059,161"
"2022-05-24T04:00:00.000Z","180.55","183.68","176.11","181.28","-7.62","-7.84","50,406,273"
"2022-05-25T04:00:00.000Z","180.40","185.45","179.32","183.83","1.41","1.19","28,030,194"
"2022-05-26T04:00:00.000Z","182.88","192.83","182.26","191.63","4.24","4.03","23,056,455"
"2022-05-27T04:00:00.000Z","191.36","195.33","189.80","195.13","1.83","1.61","22,562,727"
"2022-05-31T04:00:00.000Z","194.88","197.60","192.01","193.64","-0.7636","-0.9810","26,131,103"
"2022-06-01T04:00:00.000Z","196.51","199.53","185.00","188.64","-2.58","-2.80","36,623,495"
"2022-06-02T04:00:00.000Z","188.45","200.94","187.73","198.86","5.42","5.20","31,951,582"
"2022-06-03T04:00:00.000Z","195.98","196.61","189.78","190.78","-4.06","-4.28","19,464,993"
"2022-06-06T04:00:00.000Z","193.99","196.92","188.40","194.25","1.82","1.60","30,574,242"
"2022-06-07T04:00:00.000Z","191.93","196.53","191.49","195.65","0.7207","0.5033","18,828,687"
"2022-06-08T04:00:00.000Z","194.67","202.03","194.41","196.64","0.5060","0.2886","22,267,154"
"2022-06-09T04:00:00.000Z","194.28","199.45","183.68","184.00","-6.43","-6.65","23,501,579"
"2022-06-10T04:00:00.000Z","183.04","183.10","175.02","175.57","-4.58","-4.80","27,478,354"
"2022-06-13T04:00:00.000Z","170.59","172.57","164.03","164.26","-6.44","-6.66","31,749,304"
"2022-06-14T04:00:00.000Z","166.03","166.75","161.36","163.73","-0.3227","-0.5400","27,244,274"
"2022-06-15T04:00:00.000Z","167.20","172.16","163.97","169.35","3.43","3.22","30,008,251"
"2022-06-16T04:00:00.000Z","163.72","165.08","159.61","160.87","-5.01","-5.22","26,944,143"
"2022-06-17T04:00:00.000Z","161.68","165.90","159.90","163.74","1.78","1.57","31,374,215"
"2022-06-21T04:00:00.000Z","165.93","167.76","155.97","157.05","-4.09","-4.30","50,724,899"
"2022-06-22T04:00:00.000Z","158.38","160.79","155.44","155.85","-0.7641","-0.9815","47,596,820"
"2022-06-23T04:00:00.000Z","156.27","159.75","154.25","158.75","1.86","1.64","40,499,198"
"2022-06-24T04:00:00.000Z","161.72","170.25","161.30","170.16","7.19","6.97","68,736,009"
"2022-06-27T04:00:00.000Z","171.32","171.75","168.01","169.49","-0.3937","-0.6111","29,174,559"
"2022-06-28T04:00:00.000Z","169.90","171.30","160.61","160.68","-5.20","-5.42","27,788,725"
"2022-06-29T04:00:00.000Z","163.57","166.33","160.32","163.94","2.03","1.81","28,595,236"
"2022-06-30T04:00:00.000Z","162.15","165.23","158.49","161.25","-1.64","-1.86","35,250,605"
"2022-07-01T04:00:00.000Z","160.31","160.62","155.00","160.03","-0.7566","-0.9740","31,423,933"
